Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
India,44.35,40.65,39.77,44.21,56.46,66.53,56.67,76.3,75.62,57.61,35.87,23.44,22.08,28.6,30.8,52.42,61.35,79.38,96.12,73.13,77.96,109.6,104.65,94.88,104.63,87.95
Indonesia,29.68,29.92,24.92,28.49,91.38,95.67,58.35,58.43,59.37,46.55,22.4,13.57,14.65,16.61,24.17,34.21,52.47,55.8,,,,,,,,
Jamaica,171.55,227.42,182.51,255.54,290.6,284.24,332.11,286.78,215.45,177.27,208.44,169.59,237.6,185.62,185.42,244.69,354.89,343.06,348.48,295.97,286.82,302.69,301.44,,,
Kenya,60.57,50.68,28.95,47.64,152.61,140.17,110.04,184,179.9,105.19,72.98,69.4,67.67,41.07,71.01,,,,,,,,,,,
Madagascar,32.45,22.76,22.62,36.27,43.99,58.73,61.06,49.48,48.25,38.05,109,51.66,55.7,55.92,19.74,30.24,41.71,69.57,,,,,,,,
Malawi,84.87,70.94,48.68,57.34,92.41,125.3,95.66,108.75,101.52,77.64,57.6,46.42,39.79,39.62,51.68,83.71,84.58,80.36,76.23,91.31,96.35,,,,,
Mexico,79.56,86.56,58.25,79.31,157.91,162.79,123.44,136.12,101.69,80.9,64.08,53.98,45.08,64.02,90.78,139.03,85.5,90.91,106.05,,,,,,,
Nicaragua,4.4,44.14,44.14,,,,,,,,,29.65,30.15,34.42,40.87,52.88,58.66,64.36,71.02,71.02,78.54,91.03,60.84,39.52,71.85,
Nigeria,70.52,59.03,39.5,36.08,51.55,,,,,,,,,,,,,,,,,,,,,
Panama,49.3,47.25,44.37,51.77,80.12,97.38,100.91,126.55,111.76,,,,,,,,,,,,,,,,,
Papua New Guinea,26.6,29.48,39.1,54.8,95.64,66.31,63.75,75.43,59.15,37.7,21.89,12,13.31,17.31,22.16,24.3,32.89,23.91,34.9,27.57,29.45,37.68,37.24,24.04,22.63,25.1
Peru,90.37,,31.97,32.44,88.14,95.84,77.7,105.28,75.43,59.73,53.86,34.77,29.52,32.93,42.43,69.47,,,,,,,,,,
Philippines,34.23,34.61,42.48,46.45,94.66,104.31,68.91,72.91,76.66,60.14,34.2,23.63,21.45,32.65,31.89,41.69,55.32,74.48,88.33,69.38,65.87,108.38,96.38,90.17,,
Rwanda,74.2,50.38,48.91,45.21,49.42,54.93,55.44,56.42,55.65,45.33,34.08,23.26,17.88,24.89,29.46,46.25,,,,,,,,,,
Sierra Leone,26.17,,,,,,,,,,,,,,,,,,,,,18.83,31.87,,,
Sri Lanka,26.9,25.29,31.85,28.89,71.99,93.24,,,,,,,,,,,,,,,,,,,,
Tanzania,17.01,17.11,14.84,11.88,24,44.61,32.2,92.48,28.19,23.52,15.29,5.21,4.3,6.72,7.55,14.27,21.45,21.38,35.32,,,,,,,
Thailand,37.72,18.37,20.3,18.29,18.79,36.84,43.35,21.85,27.33,31.31,12.35,12.75,6.44,13.25,12.83,18.32,46.55,64.67,83.75,90.48,84.5,107.64,103.09,103.77,92.04,96.53
Togo,29.23,28.64,29.83,22.64,25.99,61.41,62.58,44.89,49.93,43.22,22.92,15.32,18.27,22.77,21.91,27.92,44.72,56.72,76.94,44.71,42.36,74.14,68.5,66.56,59.88,59.55
Trinidad & Tobago,62.59,62.59,69.29,72.2,64.14,63.89,63.25,60.63,60.29,79.23,,,,,,,,,,,,,,,,
Uganda,7.54,11.84,8.95,14.35,46.39,59.74,37.44,41.47,43.83,36.24,19.92,10.57,12.78,20.81,26.26,40.82,47.02,55.88,71.09,49.03,55.61,73.54,71.8,67.71,70.18,60.22
Vietnam,36.92,30.73,30.71,34.53,86.01,95.18,57.42,56.14,65.87,50.7,26.55,15.12,18.14,27.94,26,35.9,54.5,71.14,89.15,65.52,67.18,98.57,87.97,90.23,,
Zambia,89.75,70.32,34.96,54.49,88.27,69.26,81.47,121.89,130.83,119.7,91.86,65.73,60.01,52.97,64.44,87.18,100.18,106.45,126.7,116.54,120.15,84.79,,,,
In US cents/lb,,,,,,,,,,,,,,,,,,,,,,,,,,
